parent_asin,title,text,rating,retrieval_text,source,description,features,categories
B013488XFS,Five Stars,"Amazon, please buy the show! I'm hooked!",5.0,"Five Stars. Amazon, please buy the show! I'm hooked!",review,,,
B00CB6VTDS,Five Stars,My Kiddos LOVE this show!!,5.0,Five Stars. My Kiddos LOVE this show!!,review,,,
B096Z8Z3R6,Some decent moments...but...,"Annabella Sciorra did her character justice with her portrayal of a mentally ill, depressed and traumatized individual who projects much of her inner wounds onto others. The challenges she faces with her father were sensitively portrayed and resonate with understanding and love. The ending really isn't an ending, though and feels like it was abandoned with not enough of a closure but other than that, its a decent movie to sit through if you're the type of person who likes to people-watch or analyze the actions of others. Has an independent-movie feel which is also somewhat comforting.",3.0,"Some decent moments...but.... Annabella Sciorra did her character justice with her portrayal of a mentally ill, depressed and traumatized individual who projects much of her inner wounds onto others. The challenges she faces with her father were sensitively portrayed and resonate with understanding and love. The ending really isn't an ending, though and feels like it was abandoned with not enough of a closure but other than that, its a decent movie to sit through if you're the type of person who likes to people-watch or analyze the actions of others. Has an independent-movie feel which is also somewhat comforting.",review,,,
B09M14D9FZ,"Decent Depiction of Lower-Functioning Autism, However...","...there should be more of a range of characters with high-functioning autism, too. Jack is the closest representation but also falls on the more severe scale, socially. I love that the storyline of some episodes tie in heartwarming, moving moments which depict the struggles often faced by those on the spectrum. This show definitely has a ton of potential and I hope future seasons bring in more diverse and complex characters on the spectrum.",4.0,"Decent Depiction of Lower-Functioning Autism, However.... ...there should be more of a range of characters with high-functioning autism, too. Jack is the closest representation but also falls on the more severe scale, socially. I love that the storyline of some episodes tie in heartwarming, moving moments which depict the struggles often faced by those on the spectrum. This show definitely has a ton of potential and I hope future seasons bring in more diverse and complex characters on the spectrum.",review,,,
B001H1SVZC,What Love Is...,"...isn't always how you expect it to be, but when its there, you know. That is what this movie is all about. Deep struggles within a broken home and a mother with an addiction and a best friend whom nobody else seems to understand but him. There's loss, there's triumph. There's a bit of magic with a psychic neighbor who makes quite an impact on the boy. This is one definitely worth your time.",5.0,"What Love Is.... ...isn't always how you expect it to be, but when its there, you know. That is what this movie is all about. Deep struggles within a broken home and a mother with an addiction and a best friend whom nobody else seems to understand but him. There's loss, there's triumph. There's a bit of magic with a psychic neighbor who makes quite an impact on the boy. This is one definitely worth your time.",review,,,
B06WVW16WY,QUIRKY TURNS TO HEARTSTRINGS,"As you learn about the very unique characters and the values they hold dear, you notice sweet simple things in them that will make you smile. And then as the movie moves deeper, the poetic script of the movie pulls you even deeper, reminding you of memories you might have forgotten as the best movies do. In simple words this movie inspires very deep emotions and just might motivate you to do that thing you've been procrastinating on for too long. The visual play on light and color throughout this film complements its depth. MUST-SEE!!!",5.0,"QUIRKY TURNS TO HEARTSTRINGS. As you learn about the very unique characters and the values they hold dear, you notice sweet simple things in them that will make you smile. And then as the movie moves deeper, the poetic script of the movie pulls you even deeper, reminding you of memories you might have forgotten as the best movies do. In simple words this movie inspires very deep emotions and just might motivate you to do that thing you've been procrastinating on for too long. The visual play on light and color throughout this film complements its depth. MUST-SEE!!!",review,,,
B07RXM26FG,Way better than the harsh reviews.,Our family loved the film. We have kids and they thought the movie was so fun.  We liked it too. The reviews were harsh. And honestly I don’t think the previews were great. It’s worth watching.,5.0,Way better than the harsh reviews.. Our family loved the film. We have kids and they thought the movie was so fun.  We liked it too. The reviews were harsh. And honestly I don’t think the previews were great. It’s worth watching.,review,,,
B01BZ4DOGQ,Five Stars,Great film all around. Some films about Jesus can be rough. This is legit.,5.0,Five Stars. Great film all around. Some films about Jesus can be rough. This is legit.,review,,,
B00271DNP4,Five Stars,Great movie! My kids are obsessed with HP!,5.0,Five Stars. Great movie! My kids are obsessed with HP!,review,,,
B002DQDV6Y,Five Stars,Great movie! My kids are obsessed with HP!,5.0,Five Stars. Great movie! My kids are obsessed with HP!,review,,,
B01LWY8995,Five Stars,LOVE this movie! Hits you in the feels!,5.0,Five Stars. LOVE this movie! Hits you in the feels!,review,,,
B01MRH2QPD,Five Stars,An amazing LOVE story & documentary!,5.0,Five Stars. An amazing LOVE story & documentary!,review,,,
B01AMUSHAC,Five Stars,LOVED Woodlawn & the story behind it!,5.0,Five Stars. LOVED Woodlawn & the story behind it!,review,,,
